Country,Category,HS_Code,Year,CIF_Value_USD,Net_Weight_Kg,Quantity
Colombia,EV_100pct,870380,2021,199145.46,9450.0,6.0
Colombia,EV_100pct,870380,2021,20759003.42,1090953.12,734.0
Colombia,EV_100pct,870380,2021,8457814.83,515852.13,524.0
Colombia,EV_100pct,870380,2021,29216818.25,1606805.25,1258.0
Colombia,EV_100pct,870380,2021,77037.25,4614.0,3.0
Colombia,EV_100pct,870380,2021,25417.75,1538.0,1.0
Colombia,EV_100pct,870380,2021,248600.28,14265.0,30.0
Colombia,EV_100pct,870380,2021,547401.68,24318.0,9.0
Colombia,EV_100pct,870380,2021,4719829.27,191304.0,129.0
Colombia,EV_100pct,870380,2021,5267230.95,215622.0,138.0
Colombia,EV_100pct,870380,2021,66031.1,3910.0,2.0
Colombia,EV_100pct,870380,2021,67102.0,1854.0,1.0
Colombia,EV_100pct,870380,2022,4387550.48,220010.0,140.0
Colombia,EV_100pct,870380,2022,602271.03,31230.0,20.0
Colombia,EV_100pct,870380,2022,368463.32,20448.5,14.0
Colombia,EV_100pct,870380,2022,2146161.49,105240.0,64.0
Colombia,EV_100pct,870380,2022,6954607.13,306519.01,114.0
Colombia,EV_100pct,870380,2022,15126662.41,968081.98,651.0
Colombia,EV_100pct,870380,2022,2246000.42,100400.61,57.0
Colombia,EV_100pct,870380,2022,12499902.14,703985.71,505.0
Colombia,EV_100pct,870380,2022,959704.35,44722.0,28.0
Colombia,EV_100pct,870380,2022,4106624.88,197280.0,137.0
